Customer_ID,Age,Gender,City,Annual_Income,Spending_Score,Online_Purchases,Store_Visits,Membership_Years,Preferred_Category,Avg_Basket_Value,Last_Purchase_Days
10001,56.0,Male,Hyderabad,61012,36.0,26.0,6.0,8.0,Grocery,3316,138.0
10002,69.0,Female,Mumbai,99827,82.0,6.0,10.0,7.0,Grocery,10103,45.0
10003,46.0,Female,Mumbai,66492,14.0,29.0,1.0,13.0,Fashion,4142,128.0
10004,32.0,Male,Delhi,56871,58.0,40.0,1.0,7.0,Grocery,6354,89.0
10005,60.0,Male,Pune,101257,38.0,13.0,9.0,14.0,Home Decor,5044,82.0
10006,25.0,Female,Hyderabad,46656,89.0,43.0,3.0,10.0,Electronics,4501,119.0
10007,38.0,Female,Pune,51877,80.0,14.0,6.0,2.0,Grocery,7344,92.0
10008,56.0,Female,Hyderabad,47611,82.0,11.0,7.0,11.0,Grocery,4090,136.0
10009,,,,41435,,,,,,4396,
10010,40.0,Female,Hyderabad,73825,65.0,22.0,5.0,13.0,Fashion,7749,20.0
10011,28.0,Female,Pune,57176,1.0,12.0,16.0,6.0,Electronics,4230,121.0
10012,28.0,Female,Bangalore,82215,85.0,8.0,2.0,14.0,Electronics,2187,172.0
10013,41.0,Male,Pune,26633,60.0,23.0,3.0,3.0,Grocery,2744,58.0
10014,53.0,Female,Hyderabad,41936,25.0,38.0,3.0,9.0,Grocery,6028,148.0
10015,57.0,Female,Delhi,71289,91.0,29.0,10.0,9.0,Fashion,3597,89.0
10016,41.0,Male,Mumbai,106742,10.0,0.0,3.0,6.0,Electronics,7259,100.0
10017,20.0,Female,Hyderabad,79462,50.0,9.0,15.0,13.0,Home Decor,5041,115.0
10018,39.0,Female,Delhi,276325,12.0,37.0,14.0,10.0,Grocery,26096,74.0
10019,19.0,Male,Bangalore,32761,92.0,46.0,4.0,6.0,Home Decor,5707,168.0
10020,41.0,Female,Hyderabad,53803,32.0,14.0,10.0,8.0,Home Decor,7119,16.0
10021,61.0,Male,Delhi,68937,33.0,8.0,11.0,8.0,Electronics,8767,4.0
10022,47.0,Male,Hyderabad,11057,72.0,12.0,11.0,6.0,Home Decor,6129,10.0
10023,55.0,Male,Pune,39665,26.0,22.0,8.0,7.0,Grocery,6031,179.0
10024,,,,51561,,,,,,7224,
10025,38.0,Female,Pune,63564,50.0,8.0,8.0,1.0,Fashion,3872,20.0
10026,50.0,Male,Pune,68641,61.0,2.0,12.0,4.0,Electronics,6083,32.0
10027,29.0,Male,Delhi,54728,41.0,29.0,17.0,8.0,Electronics,3156,60.0
